entry_time,exit_time,side,entry,exit,outcome,gross_pnl,fees,pnl_usdt,balance_after
2026-04-23 08:00:00,2026-04-23 12:30:00,SHORT,78102.7,77280.0,win,105.33603989999963,19.8947347599,85.44130514009963,10085.441305140099
2026-04-28 21:45:00,2026-05-01 03:30:00,LONG,78275.2,78824.59,win,70.78670393999992,20.241679542339998,50.54502439765993,10135.986329537758
2026-05-09 00:15:00,2026-05-09 00:30:00,SHORT,81568.0,88001.08,loss,-101.35960848000002,2.6717304244799998,-104.03133890448002,10031.954990633278
2026-05-10 00:15:00,2026-05-11 00:00:00,LONG,56281.8,69709.68,win,167.20396175999986,1.56884590896,165.63511585103987,10197.590106484318
2026-05-14 00:15:00,2026-05-14 11:45:00,SHORT,79463.5,88523.77,loss,-101.97333885000005,1.89069672385,-103.86403557385005,10093.726070910468
2026-05-28 18:15:00,2026-05-29 00:00:00,SHORT,74310.0,73793.15,win,70.2052860500008,20.11729517395,50.087990876050796,10143.81406178652
2026-06-09 19:45:00,2026-06-09 20:00:00,SHORT,60746.0,61016.79,loss,-45.21840973000015,20.33280301373,-65.55121274373015,10078.262849042789
