timestamp,open,high,low,close,volume
2024-10-01 00:00:00,61904.66,62045.8,61701.52,62045.8,0.059027
2024-10-01 00:15:00,62045.8,62045.8,61903.96,62045.8,0.302472
2024-10-01 00:30:00,62045.8,62045.8,61909.12,62045.8,0.30256
2024-10-01 00:45:00,62045.8,62045.8,61911.32,62045.8,0.30554
2024-10-01 01:00:00,62045.8,62045.8,61818.04,61910.67,0.286369
2024-10-01 01:15:00,61910.67,62045.8,61900.7,61900.7,0.008681
2024-10-01 01:30:00,61900.7,62045.8,61892.54,62002.34,0.089318
2024-10-01 01:45:00,62002.34,62045.8,61890.94,61921.73,0.021459
2024-10-01 02:00:00,61921.73,61921.73,61701.52,61829.89,0.03485
2024-10-01 02:15:00,61829.89,61914.28,61744.62,61855.24,0.008558
2024-10-01 02:30:00,61855.24,61914.28,61734.15,61914.28,0.010044
2024-10-01 02:45:00,61914.28,61914.28,61701.52,61725.04,0.010627
2024-10-01 03:00:00,61725.04,62045.8,61723.84,61894.75,0.06964
2024-10-01 03:15:00,61894.75,62045.8,61830.35,61863.97,0.012236
2024-10-01 03:30:00,61863.97,62045.8,61863.97,61904.85,0.045391
2024-10-01 03:45:00,61904.85,62045.8,61701.52,61874.91,0.070562
2024-10-01 04:00:00,61874.91,62045.8,61701.52,61838.21,0.074031
2024-10-01 04:15:00,61838.21,62000.0,61829.34,61917.58,0.026682
2024-10-01 04:30:00,61917.58,62067.16,61886.62,62025.98,47.127265
2024-10-01 04:45:00,62025.98,62136.6,61672.2,62047.92,2.034957
2024-10-01 05:00:00,62047.92,62100.0,62034.74,62036.61,0.100058
2024-10-01 05:15:00,62036.61,62100.0,61672.2,61916.7,1.028706
2024-10-01 05:30:00,61916.7,62052.42,61881.51,62001.53,0.031305
2024-10-01 05:45:00,62001.53,62136.6,61750.0,62090.78,0.166283
2024-10-01 06:00:00,62090.78,62136.6,62007.04,62108.71,0.022722
2024-10-01 06:15:00,62108.71,62302.64,62096.03,62302.64,42.90124
2024-10-01 06:30:00,62302.64,62302.64,62294.7,62294.7,0.039396
2024-10-01 06:45:00,62294.7,62368.8,62294.67,62348.47,0.171479
2024-10-01 07:00:00,62348.47,62368.8,62338.22,62366.55,0.067892
2024-10-01 07:15:00,62366.55,62368.8,62362.09,62365.51,0.022945
2024-10-01 07:30:00,62365.51,62366.75,62362.09,62365.47,0.14173
2024-10-01 07:45:00,62365.47,62366.75,62364.9,62365.21,0.062255
2024-10-01 08:00:00,62365.21,62365.4,61014.5,62212.98,1000.287122
2024-10-01 08:15:00,62212.98,62298.86,62210.22,62271.67,0.020061
2024-10-01 08:30:00,62271.67,62300.0,62229.01,62290.05,0.054982
2024-10-01 08:45:00,62290.05,62561.45,62264.24,62502.16,54.412528
2024-10-01 09:00:00,62502.16,62561.45,62339.8,62441.12,0.087734
2024-10-01 09:15:00,62441.12,62561.45,62441.12,62481.19,0.334551
2024-10-01 09:30:00,62481.19,62561.45,62473.74,62483.66,0.075132
2024-10-01 09:45:00,62483.66,62561.45,62302.64,62372.08,0.113903
2024-10-01 10:00:00,62372.08,62438.59,62366.45,62393.1,0.076216
2024-10-01 10:15:00,62393.1,62435.59,62385.5,62393.25,0.049798
2024-10-01 10:30:00,62393.25,62561.45,62387.76,62561.45,0.214943
2024-10-01 10:45:00,62561.45,62561.45,61207.8,61904.4,329.416385
2024-10-01 11:00:00,61904.4,62127.04,58951.9,62063.52,3421.3418
2024-10-01 11:15:00,62063.52,62127.04,61896.7,62051.58,0.137291
2024-10-01 11:30:00,62051.58,62127.04,61942.92,61999.05,0.046703
2024-10-01 11:45:00,61999.05,62127.04,61817.8,61925.48,0.346123
