entry_time,exit_time,side,entry,exit,outcome,gross_pnl,fees,pnl_usdt,balance_after
2025-02-04 21:15:00,2025-02-05 05:30:00,SHORT,89176.19,93217.08,loss,-99.99990482999999,4.51368625269,-104.51359108269,9895.48640891731
2025-02-05 20:30:00,2025-02-05 21:15:00,LONG,100628.55,98144.23,loss,-98.95543424000027,7.917517372959999,-106.87295161296026,9788.61345730435
2025-02-12 07:45:00,2025-02-12 08:00:00,LONG,96146.46,101156.36,win,163.14238359999982,6.424969030480002,156.7174145695198,9945.330871873868
